initiativeId,employeeId,initiativeName,description,startDate,endDate,utilizationPercent,status,type,createdAt,lastUpdated
"b95d2b39-f8d6-4904-8c95-8a7178ff2a4e","EMP001","Cloud Migration","Leading the migration of legacy systems to cloud infrastructure","2026-03-01","2026-06-30","50","Active","Initiative","2026-03-24T22:00:00.000Z","2026-03-24T22:00:00.000Z"
"2b2c3a37-8b5e-4794-806a-5689775fda10","EMP001","AI Integration","Integrating AI capabilities into existing applications","2026-04-01","2026-12-31","38","Active","Initiative","2026-03-24T22:00:00.000Z","2026-03-24T22:00:00.000Z"
"f0a8482e-8eed-4a1f-8f1c-f274e7328f28","EMP002","Data Analytics Platform","Building a comprehensive data analytics platform","2026-02-15","2026-08-15","62","Active","Initiative","2026-03-24T22:00:00.000Z","2026-03-24T22:00:00.000Z"
"cc4fc4d0-6cc2-49ef-ab85-7c6b5367f602","EMP002","Machine Learning Model","Developing ML models for predictive analytics","2026-03-15","2026-09-30","50","Active","Initiative","2026-03-24T22:00:00.000Z","2026-03-24T22:00:00.000Z"
"4c7c461b-8908-4ddb-92ff-04b57159aabb","EMP003","Database Optimization","Optimizing database performance for large-scale operations","2026-03-01","2026-05-31","44","Active","Initiative","2026-03-24T22:00:00.000Z","2026-03-24T22:00:00.000Z"
"252ea35f-85b2-48bc-b272-884a3af6d540","EMP003","Security Audit","Conducting comprehensive security audit of systems","2026-03-20","2026-06-20","25","Active","Initiative","2026-03-24T22:00:00.000Z","2026-03-24T22:00:00.000Z"
"0ed94c9b-5e43-478b-aec2-1470deb31de6","I770144","Technical Documentation","CAIA: Technical Documentation","2025-10-16","2025-10-30","38","Completed","CAIA","2026-03-24T22:00:00.000Z","2026-03-24T22:00:00.000Z"
"e2acb2a9-bb7c-4357-8acf-80f27453df68","I770144","Code Review & Quality Assurance","CAIA: Code Review & Quality Assurance","2025-10-21","2025-10-27","38","Completed","CAIA","2026-03-24T22:00:00.000Z","2026-03-24T22:00:00.000Z"
"1cc49297-1773-4c38-bd75-b5f52f8ff495","I770151","Team Training & Mentoring","CAIA: Team Training & Mentoring","2025-10-20","2025-11-20","25","Completed","CAIA","2026-03-24T22:00:00.000Z","2026-03-24T22:00:00.000Z"
"977e30a8-4721-4f37-8f8f-c3303c267042","I770152","System Maintenance","CAIA: System Maintenance","2025-10-15","2025-11-15","25","Completed","CAIA","2026-03-24T22:00:00.000Z","2026-03-24T22:00:00.000Z"
